series_id,dataset,sector,indicator,observations,latest_observation,ready,quality,reason
price_semi_it,Price_Daily,반도체/IT,close,648,2026-09-04,True,direct/market,648 daily observations; 220 required
price_auto,Price_Daily,자동차,close,648,2026-09-04,True,direct/market,648 daily observations; 220 required
price_battery,Price_Daily,2차전지,close,648,2026-09-04,True,direct/market,648 daily observations; 220 required
price_bio,Price_Daily,바이오·헬스케어,close,648,2026-09-04,True,direct/market,648 daily observations; 220 required
price_financial,Price_Daily,금융,close,648,2026-09-04,True,direct/market,648 daily observations; 220 required
price_ship_machinery,Price_Daily,조선·기계,close,648,2026-09-04,True,direct/market,648 daily observations; 220 required
price_steel,Price_Daily,철강·소재,close,648,2026-09-04,True,direct/market,648 daily observations; 220 required
price_consumer,Price_Daily,소비재,close,648,2026-09-04,True,direct/market,648 daily observations; 220 required
price_media_platform,Price_Daily,미디어·플랫폼,close,648,2026-09-04,True,direct/market,648 daily observations; 220 required
price_construction,Price_Daily,건설·인프라,close,648,2026-09-04,True,direct/market,648 daily observations; 220 required
price_kbeauty,Price_Daily,소비재,close,565,2026-09-04,True,direct/market,565 daily observations; 220 required
price_kfood,Price_Daily,소비재,close,648,2026-09-04,True,direct/market,648 daily observations; 220 required
price_biosim_cdmo,Price_Daily,바이오·헬스케어,close,411,2026-09-04,True,direct/market,411 daily observations; 220 required
tip_tr,HAA_TIP,HAA,TIP total return,672,2026-09-04,True,market total-return proxy,TIP observations=672; HAA rows=208
bb350,Breadth,시장,"KOSPI200+KOSDAQ150 BB(20,+2σ) 돌파수",269,2026-09-04,False,partial-universe,breadth rows=269; latest universe_count=343; strict target=350
eps_sector,EPS_Revisions,전섹터,EPS revision,30,2026-09-03,True,proxy-public,"market weeks=6; sector observations={'반도체/IT': 4, '자동차': 4, '2차전지': 3, '바이오·헬스케어': 3, '금융': 3, '조선·기계': 3, '미디어·플랫폼': 3}; need >=3 each"
price_kospi200,Price_Daily,시장,close,648,2026-09-04,True,direct/market,648 daily observations; 220 required
semi_price,Fundamental,반도체/IT,DRAM/NAND/HBM 현물·계약가격,8,2026-09-04,True,direct-or-standardized-proxy,matched native/proxy observations=8; 3 required for direction
semi_spot_demand,Fundamental,반도체/IT,현물 구매수요/거래강도,1,2026-09-02,False,partial,matched native/proxy observations=1; 3 required for direction
semi_inventory,Fundamental,반도체/IT,재고일수·채널재고,5,2026-07-29,True,direct-or-standardized-proxy,matched native/proxy observations=5; 3 required for direction
semi_supply_capex,Fundamental,반도체/IT,가동률·공급증가·CAPEX,3,2026-06-01,True,direct-or-standardized-proxy,matched native/proxy observations=3; 3 required for direction
